                REGISTER JASKÝŇ
     Názov                                 Číslo jaskyne
Davidova jaskyňa                                            2 697
Daxner                                                      3 932
Daxner 3                                                    3 933



                                         Page 10 of 131
Daxner 4                                             3 934
Dáždniková jaskyňa                                   3 064
Dažďová jaskyňa                                      1 032
Dažďová jaskyňa                                      1 507
Dažďová priepasť                                     4 444
Dážďovková priepasť                                  2 698
Dažďovnica I                                         3 935
Dažďovnica II                                        3 936
Dažďový tunel                                        3 065
Decembrová jaskyňa                                   3 937
Dedkovo                                              4 943
Dedkovské diery                                      4 944
Dedošová I                                           6 288
Dedošová II                                          6 289
Dedova jaskyňa                                       1 033
Dekretova jaskyňa                                    6 290
Delová guľa                                          1 508
Delta                                                5 740
Demänovka pod Studňou                                3 938
Demänovský jaskynný systém                           1 509
   Demänovská jaskyňa mieru               1509.1.
   Demänovská jaskyňa slobody             1509.2.
   Demänovská ľadová jaskyňa              1509.3.
   Demänovská medvedia jaskyňa            1509.4.
   Jaskyňa pod útesom                     1509.5.
   Jaskyňa trosiek                        1509.6.
   Pavúčia jaskyňa                        1509.7.
   Pustá jaskyňa                          1509.8.
   Sonda v Machnatom                      1509.9.
   Točište 15                             1509.10.
    Údolná jaskyňa                        1509.11.
    Vyvieranie                            1509.12.
Demosonda                                            5 208
Deravá diera                                         4 445
Deravá diera                                         3 229
Deravá jaskyňa                                       3 939
Deravá jaskyňa                                       5 569
Deravá jaskyňa                                       6 898
Deravá skala                                         1 252
Deravá skala                                           912
Deravá skalka                                        2 581
Deravý dom                                           4 446
Desný kanál                                          1 510
Detská fantázia                                      5 741
Detská jaskyňa                                       3 940
Detská priepasť                                      4 447
Deväťdesiatka                                        2 699
Devina                                                 913
Diablova diera (ponor)                                  81
Diablova diera (vyvieračka)                             82
Diaklázová jaskyňa                                   4 448
Diakovo                                                373
Diamami                                              5 332
Diamantová jaskyňa                                   2 549
Dielik                                               3 941
Dielnice                                             2 398



                                 Page 11 of 131
Diera                                               5 209
Diera                                               2 550
Diera                                               4 449
Diera                                               5 570
Diera Breznovica 1                                  4 450
Diera Breznovica 2                                  4 451
Diera Breznovica 3                                  4 452
Diera iks                                           4 453
Diera jazvecov                                      4 454
Diera KR 1                                          4 455
Diera Malý Sokol 2                                  4 456
Diera Malý Sokol 6                                  4 457
Diera medzi blokmi                                  6 145
Diera MS 9                                          4 458
Diera MS 1                                          4 459
Diera MS 10                                         4 460
Diera MS 11                                         4 461
Diera MS 15                                         4 462
Diera MS 17                                         4 463
Diera MS 19                                         4 464
Diera MS 20                                         4 465
Diera MS 4                                          4 466
Diera na Hradskej hore                                717
Diera na Langáči                                    5 127
Diera na spálenisku                                 4 467
Diera na Svorade                                      515
Diera na Veletínke                                  3 162
Diera na Zadných                                    1 511
Diera nad cestou                                    4 468
Diera nad hlavnou cestou                            2 225
Diera nad Maliarikovou chatou 1                     1 512
Diera nad Maliarikovou chatou 2                     1 513
Diera nad Maliarikovou chatou 3                     1 514
Diera nad Objavným ponorom                          1 515
Diera nad oknom                                     5 779
Diera nad Pod Úpnou                                   718
Diera nad portálom                                    719
Diera nad prameňom                                  6 899
Diera nad roklinou                                  6 678
Diera nad Rúrovitou jaskyňou                        6 679
Diera nad Slepými mostami                           2 226
Diera nad starými objaviteľmi                       5 780
Diera nad Suchou jaskyňou                           6 011
Diera nad TM-71                                     2 667
Diera nad Viechou                                   1 516
Diera nad vodopádom                                 4 469
Diera nad Zejmarskou vyvieračkou                    4 470
Diera nad Žiarskym sedlom                           6 078
Diera oproti Puklinovej                             6 821
Diera pod balvanmi                                  5 906
Diera pod Bodovou                                   1 517
Diera pod borovicou                                 1 518
Diera pod Firnovou jamou                            6 012
Diera pod Hájskou vyhliadkou                        3 791
Diera pod Hlbokou jaskyňou                          1 015
Diera pod Hodinami                                  4 945



                                   Page 12 of 131
Diera pod hrebeňom                                         5 907
Diera pod jarabinou                                        3 942
Diera pod kamennou ihlou                                   6 680
Diera pod Kľakom                                           6 604
Diera pod Netopierou                                       1 519
Diera pod oknom                                              790
Diera pod Oknom                                            7 213
Diera pod Ondrašovskou jaskyňou                            7 214
Diera pod Petinou                                          1 520
Diera pod previsom                                         6 900
Diera pod Skokom                                           4 471
Diera pod Skrytou priepasťou                               5 908
Diera pod Strednou                                         6 681
Diera pod Suchým vrchom                                      805
Diera pod Tunelovou jaskyňou                               1 521
Diera Pod Úpnou                                              720
Diera pod Veľkou Kamenistou                                6 013
Diera pod Zásekmi                                          3 178
Diera pri Bielej jaskyni                                   1 522
Diera pri ceste                                            1 523
Diera pri červenici                                        3 943
Diera pri dvoch psoch                                      4 472
Diera pri Hornej Zvonici                                   6 682
Diera pri chodníku                                         1 034
Diera pri jame                                             6 605
Diera pri Jazvečom hrade                                   3 944
Diera pri Klepci                                           6 291
Diera pri kóte 1944                                        5 909
Diera pri lanovke 1                                        4 473
Diera pri lanovke 2                                        4 474
Diera pri lanovke 3                                        4 475
Diera pri Medvedej jaskyni                                 4 476
Diera pri Mišovej                                          1 524
Diera pri potoku                                             806
Diera pri prameni 1                                        6 292
Diera pri prameni 2                                        6 293
Diera pri prameni 3                                        6 294
Diera pri Stanišovskej jaskyni                             1 525
Diera pri Teplici                                          3 945
Diera P1                                                   4 477
Diera s červenicou                                         3 946
Diera s inoväťou                                           7 215
Diera s oknom                                              1 526
Diera s padajúcim kamením                                  6 014
Diera s prievanom                                          6 146
Diera SD 1                                                 4 478
Diera SD 2                                                 4 479
Diera študentov                                            1 527
Diera v Potôčkach I                                          313
