                REGISTER JASKÝŇ
     Názov                                 Číslo jaskyne
Jaskyňa v žľabe vedľa posedu                          3 108
Jaskyňa v Žľabinách 1                                 6 746
Jaskyňa v Žľabinách 2                                 6 747
Jaskyňa v Žľabinách 5                                 6 748
Jaskyňa v Žľabinách 6                                 6 749
Jaskyňa v Žlebinských Turniach 1                      5 836
Jaskyňa vedľa ťažkej hlavy                            5 425
Jaskyňa veľkého chrobáka                                853
Jaskyňa veľkých puklín                                6 750
Jaskyňa verných                                       5 929
Jaskyňa vo farskej záhrade                              457



                                   Page 53 of 131
Jaskyňa vo Farskom jarku                             812
Jaskyňa vo Ferteši                                 3 109
Jaskyňa vo Svidovskej doline                       1 701
Jaskyňa vo Svrčinovci                              5 426
Jaskyňa vo Valickom Lahári                         2 657
Jaskyňa vo vápencovej čiapke                       6 160
Jaskyňa vo Vápenici nad motelom                    2 337
Jaskyňa vo Vápeníku 3                              6 936
Jaskyňa vo Vápeníku 4                              6 937
Jaskyňa vo Vápennej                                1 286
Jaskyňa vo Vápennom vrchu                          6 212
Jaskyňa vo veľkej skale                            5 427
Jaskyňa vo Veľkej skale                            6 751
Jaskyňa vo Veľkej Tuchyni                          5 428
Jaskyňa vo veľkom previse                          1 084
Jaskyňa vo Veľkom Sokole                           4 615
Jaskyňa vo Vlčej skale 1                           6 663
Jaskyňa vo Vlčej skale 2                           6 664
Jaskyňa vo Vlčej skale 3                           6 665
Jaskyňa vo vodojeme                                  368
Jaskyňa vo Vrátach                                 5 119
Jaskyňa vo Vrátnej 1                               6 375
Jaskyňa vo Vrátnej 2                               6 376
Jaskyňa vo Vrátnej 3                               6 377
Jaskyňa vo Vrátnej 4                               6 378
Jaskyňa vo Vrátnej 6                               6 379
Jaskyňa vo Vrátnej 7                               6 380
Jaskyňa vo Vrátnej 8                               6 381
Jaskyňa vo Vrátnej 10                              6 382
Jaskyňa vo Vrátnej 11                              6 383
Jaskyňa vo Vrátnej 12                              6 384
Jaskyňa vo Vrátnej 13                              6 385
Jaskyňa vo vrchu Nový 1                            5 837
Jaskyňa vo vrchu Nový 2                            5 838
Jaskyňa vo vrchu Nový 3                            5 839
Jaskyňa vo vrstve na Prosečnom                       526
Jaskyňa vo Vŕškoch                                   330
Jaskyňa vo Vŕšku                                   5 237
Jaskyňa vo Vyšnom Blatníku                         1 702
Jaskyňa vo vyvieračke                                934
Jaskyňa vo vyvieračke                                527
Jaskyňa výchovnej činnosti                         1 703
Jaskyňa z druhej strany                            5 429
Jaskyňa za Bielou skalou                           6 161
Jaskyňa za Bôrovou                                 4 077
Jaskyňa za Čertovým mostom                         3 823
Jaskyňa za Dielikom                                4 078
Jaskyňa za Dzuroškou                               5 430
Jaskyňa za hrebeňom                                  854
Jaskyňa za Humnom                                  1 704
Jaskyňa za chatou                                  1 705
Jaskyňa za chatou                                  1 706
Jaskyňa za Jezerskú                                5 120
Jaskyňa za Kancľom                                 1 707
Jaskyňa za letohrádkom 1                             741
Jaskyňa za letohrádkom 2                             742



                                  Page 54 of 131
Jaskyňa za letohrádkom 3                         743
Jaskyňa za Listovou                            5 431
Jaskyňa za lomom                               1 362
Jaskyňa za rohom                               5 432
Jaskyňa za rohom                               3 542
Jaskyňa za Skalicou                            4 079
Jaskyňa za skalnou ihlou                         137
Jaskyňa za skalou                                688
Jaskyňa za skalou                              2 910
Jaskyňa za skalou                              1 708
Jaskyňa za skalou                              5 605
Jaskyňa za smrekom                             5 840
Jaskyňa za stromom                             5 433
Jaskyňa za topoľom                             2 732
Jaskyňa za Tupou skalou                        2 270
Jaskyňa Záborských                             6 162
Jaskyňa Záborských 2                           6 163
Jaskyňa zapadajúceho slnka                     3 277
Jaskyňa zdochnutej líšky                       5 730
Jaskyňa zlomísk                                1 709
Jaskyňa 11. otvorov                            4 080
Jaskyňa 13 a                                   1 710
Jaskyňa 16                                       630
Jaskyňa 3. júna                                5 841
Jaskyňa 41                                     1 711
Jaskyňa 6                                        574
Jaskyňa 60. výročia                            1 363
Jaskyňa 675                                       97
Jaskyňa 7                                        575
Jaskyne pod balvanom 1a2                       5 088
Jaskynka pri sútoku                            6 831
Jaskynka pri viadukte                          4 081
Jaskynka sintrovej šable                       4 082
Jaskynná diera 5                               6 631
Jaskynná diera 6                               6 632
Jaskynný hrad 1                                1 712
Jaslište                                       4 083
Jaslište 1                                     4 084
Jaslište 2                                     4 085
Jaslište 5                                     4 086
Jaslište 6                                     4 087
Jaslište-priepasť                              4 088
Jasovská diera I                                 631
Jasovská diera II                                632
Jasovská jaskyňa - Okno                          633
   Jasovská jaskyňa                   633.1.
   Okno                               633.2.
Jastrabia priepasť                             2 733
Jašteričia priepasť                            3 278
Jašteričia priepasť                            5 606
Jašteričia priepasť I                            935
Jašteričia priepasť II                           936
Jašteričia priepasť III                          937
Jatky                                          4 616
Javisko                                        2 911
Javisková diera                                2 912



                             Page 55 of 131
Javiskový komín                                     2 913
Javor                                               4 617
Javorina - Medvedia jaskyňa                         6 633
    Javorina                              6633.1.
    Medvedia jaskyňa                      6633.2.
Javorinka                                           5 842
Javorinka - Nádejná jaskyňa                         5 930
    Javorinka                             5930.1.
    Nádejná jaskyňa                       5930.2.
Javoriny                                            4 089
Javorníčková 1                                      4 090
Javorníčková 2                                      4 091
Javorníčková 3                                      4 092
Javorníčková 4                                      4 093
Javorníková jaskyňa 1                               4 094
Javorníková jaskyňa 2                               4 095
Javorníková jaskyňa 3                               4 096
Javorníková jaskyňa 4                               4 097
Javorníková jaskyňa 5                               4 098
Javorníková jaskyňa 6                               4 099
Javorníková jaskyňa 7                               4 100
Javorníková jaskyňa 8                               4 101
Javorníková jaskyňa 9                               4 102
Javorníková jaskyňa 10                              4 103
Javorníková jaskyňa 11                              4 104
Javorníková jaskyňa 12                              4 105
Javorníková jaskyňa 13                              4 106
Javorníková jaskyňa 14                              4 107
Javorová priepasť                                   1 713
Javorová priepasť                                   3 543
Javorová priepasť                                   2 914
Javorová trhlina                                    4 108
Javorová vyvieračka                                   331
Javorové okno                                       5 931
Javorovie                                           3 544
Jazerná jaskyňa                                     6 752
Jazerná jaskyňa                                     4 109
Jazerná štrbina                                     4 618
Jazerná Žibrica                                     6 258
Jazierková jaskyňa                                  5 004
Jazierková jaskyňa                                  2 179
Jazvečí brloh                                       1 714
Jazvečí hrad                                          634
Jazvečí hrad                                        2 915
Jazvečí hrad                                        1 715
Jazvečí hrad                                        6 230
Jazvečí hrad                                        4 110
Jazvečí hrad                                        3 279
Jazvečí hrad v Skalnej dolinke                        744
Jazvečí hrádok pri červenej                         2 916
Jazvečí kamenný hrad                                2 734
Jazvečia diera                                      2 736
Jazvečia diera                                      2 735
Jazvečia diera                                      2 615
Jazvečia diera                                      1 716
Jazvečia diera                                      6 938



                                 Page 56 of 131
Jazvečia diera                                      3 545
Jazvečia diera II                                   7 045
Jazvečia diera II                                   3 546
Jazvečia diera nad vinicami                         3 547
Jazvečia diera v Miglinci                           3 110
Jazvečia diera                                      3 111
Jazvečia diera 1                                    2 670
Jazvečia diera 2                                    2 671
Jazvečia jaskyňa                                    4 619
Jazvečia jaskyňa                                    7 145
Jazvečia jaskyňa                                    7 171
Jazvečia jaskyňa                                    5 291
Jazvečia jaskyňa                                      172
Jazvečia jaskyňa                                    4 962
Jazvečia jaskyňa                                    1 085
Jazvečia jaskyňa                                    2 316
Jazvečia jaskyňa                                    5 434
Jazvečia jaskyňa                                    2 917
Jazvečia jaskyňa                                    1 717
Jazvečia jaskyňa                                      855
Jazvečia jaskyňa                                    5 731
Jazvečia jaskyňa                                    6 853
Jazvečia jaskyňa                                    3 548
Jazvečia jaskyňa                                      202
Jazvečia jaskyňa v Otovej skale                        98
Jazvečia jaskyňa II                                 2 918
Jazvečia jaskyňa II                                 3 549
Jazvečia jaskyňa v Dedovom vrchu                    1 086
Jazvečia jaskyňa v Homoli                           4 111
Jazvečia jaskyňa v Rebrách                          4 937
Jazvečia jaskyňa v Sivej skale                        145
Jazvečia jaskyňa 1                                  5 435
Jazvečia jaskyňa 2                                  5 436
Jazvečia jaskyňa 3                                  5 437
Jazvečia nora                                       1 718
Jazvečia nora                                         745
Jazvečia nora pod Hradovou                            203
Jazvečia priepasť                                     483
Jazvečia puklina                                    2 919
Jazvečia puklina                                    2 920
Jazvečia sonda                                      3 045
Jazvečia v Driekyni                                 7 112
Jazvečia v Železnej bráne                           7 079
Jazvínska jaskyňa                                   6 231
Jedličková diera                                    4 620
Jedličková jaskyňa                                  4 112
Jedlie                                              5 065
Jednobuková diera                                   4 621
Jelenecká jaskyňa                                   6 566
Jelení previs                                       1 719
Jelení previs                                       1 720
Jelení úkryt                                        5 843
Jelenia hlava                                       4 622
Jelenia jaskyňa                                     1 721
Jelenia jaskyňa                                     4 623
Jelenia jaskyňa                                     5 238



                                   Page 57 of 131
Jelenia jaskyňa                            6 386
Jelenia jaskyňa                            6 567
Jelenia jaskyňa                            4 113
Jelenia priepasť                           3 280
Jelenia priepasť                           2 737
Jelenia priepasť                           1 722
Jelenia priepasť                           4 114
Jelšavská jaskyňa                          3 168
Jendova diera                              5 932
Jergušova jaskyňa                          3 550
Jesenná jaskyňa                            2 738
Jesenského duby I                          1 198
Jesenského duby II                         1 199
Jesenského duby III                        1 200
Ježkov ponor                               3 551
Ježkova diera                              3 281
Ježovka                                    2 317
Johanov potok                              2 375
Jonásova jaskyňa                           1 723
Jordánsky meander                          6 939
Jovická priepasť                           3 552
Jovická trhlina                            3 553
Jožova diera                               3 554
Jožova jaskyňa                               938
Jožova jaskyňa                             3 282
Jubilejná priepasť                         3 191
Júdova priepasť                            3 555
Julov ponor 1                              3 556
Julov ponor 2                              3 557
Junácka pasovačka                            939
Júnová jaskyňa                             3 558
Jurgovská diera                            5 933
Jurgovská priepasť                         5 934
Jurgovský komín                            5 935
Jurská jaskyňa 1                           5 438
Jurská jaskyňa 2                           5 439
Juskova jaskyňa                            2 666
Južná Baksova jaskyňa 1                    2 921
Južná Baksova jaskyňa 2                    2 922
Južná Baksova jaskyňa 3                    2 923
Južná Baksova jaskyňa 4                    2 924
Južná jaskyňa                              2 542
Južná priepasť                             3 283
Južná sonda                                6 634
Južná vyvieračka                           4 115
Južná 1                                    5 607
Južná 2                                    5 608
Južná 3                                    5 609
Južná 4                                    5 610
Južná 5                                    5 611
Južný komín                                3 112
Kabela                                     1 287
Kábelová jaskyňa                           5 066
Kabínková jaskyňa                          6 753
Kačiatko                                   1 724
Kadlub                                     2 616



                          Page 58 of 131
Kajmanovo víno                                  1 725
Kakaové oči                                     1 087
Kalcit I                                        3 284
Kalcitová jaskyňa                               2 479
Kalcitová jaskyňa 1                             1 726
Kalcitová jaskyňa 2                             1 727
Kamenec                                         6 232
Kamenecká priepasť 1                            3 559
Kamenecká priepasť 2                            3 560
Kamenica                                        4 624
Kamenica                                        5 440
Kamenica 4                                      1 728
Kamenica 5                                      1 729
Kamenica 7                                      1 730
Kamenica 9                                      1 731
Kamenica 1                                      4 929
Kamenica 10                                     1 732
Kamenica 11                                     1 733
Kamenica 2                                      4 930
Kamenica 3                                      4 931
Kamenica 4                                      4 932
Kamenica 5                                      4 933
Kamenica 6                                      4 934
Kamenistá diera                                 4 625
Kamenistá priepasť                              2 739
Kamenná diera                                     562
Kamenná jaskyňa                                 4 626
Kamenná pivnica                                   635
Kamenná platňa                                    173
Kamenná tvár                                    3 113
Kamenné dúpä                                    4 627
Kamenné mlieko                                  6 164
Kamenné mlieko                                  1 734
Kamenné mlieko                                    428
Kamenné mlieko                                  5 844
Kamenné mlieko previs                           6 116
Kamenný brloh                                   4 628
Kamenný mlyn                                    7 128
Kamenný most                                    6 165
Kamenný prameň                                  2 925
Kamenný stan                                    6 754
Kamenný stôl                                    3 192
Kameňová jaskyňa                                5 441
Kamenská skala 1                                5 100
Kamenská skala 2                                5 101
Kamenská skala 3                                5 102
Kamenská skala 4                                5 103
Kamenská skala 5                                5 104
Kamienka                                        6 866
Kamzičí úkryt                                   5 936
Kamzičia izba                                   4 629
Kamzičia jaskyňa                                4 630
Kamzičia jaskyňa                                6 026
Kamzičia jaskyňa                                5 845
Kamzičia jaskyňa nad Sokolom                    1 735
Kamzičia puklina                                5 937



                               Page 59 of 131
Kanál                                                   1 736
Kanál nad jedenástkou                                   1 737
Kanál v previse                                         1 738
Kanál v Skalnej dolinke                                   746
Kanálová diera II                                       4 631
Kanálová jaskyňa                                        4 632
Kanálová jaskyňa                                        2 480
Kanálová jaskyňa                                        4 963
Kanálová jaskyňa                                        1 739
Kanálová jaskyňa                                        1 740
Kanálová jaskyňa nad Lúčkami                            1 741
Kanálová medzivrstvová jaskyňa I                        1 742
Kanálová medzivrstvová jaskyňa II                       1 743
Kanálová pri Pivnici                                      747
Kanceľ                                                  6 568
Kapitulácia                                             5 442
Kaplnka                                                 4 633
Kaplnka                                                 3 046
Kaplnka                                                 1 744
Kaplnka                                                    99
Kaplnka                                                 2 481
Kaplnka                                                 4 964
Kaplnková jaskyňa                                       2 926
Kapsa pri Peňažnici                                     3 285
Kapusňákov bivak                                        6 259
Kardošova jaskyňa                                         484
Karfiolová jaskyňa                                      6 233
Karfiolová jaskyňa                                        485
Karfiolová jaskyňa                                      4 634
Karola                                                  6 027
Kaskádová jaskyňa                                       4 635
Kášter                                                  4 116
Kašupierova diera                                       5 018
Katka                                                   5 292
Katkina brána                                           4 636
Katova jaskyňa                                          6 635
Katova studňa                                           6 636
Kavčia jaskyňa                                          2 376
Kavčia priepasť I                                       3 561
Kavčia priepasť II                                      3 562
Kavečianska jaskyňa                                       239
Kaverna na Donovaloch                                   1 460
Kaverna pod bivakom                                     1 088
Kaverna pod cestou                                      5 443
Kaverna pri ceste                                       5 239
Kaverna pri Kráľovej Lehote                             2 392
Kaverna pri stožiari                                    6 755
Kaverna v žile Bieber v Novej šachte                    5 747
Keagenova jaskyňa                                       1 288
Kečka                                                   7 129
Kečovská biela jaskyňa                                  3 563
Kečovská diera                                          3 564
Kečovská vetva 1                                        3 565
Kečovská vetva 2                                        3 566
Kečovská vyvieračka 2                                   3 567
Kečovská vyvieračka 3                                   3 568



                                       Page 60 of 131
Kečovský ponor 1                                    3 569
Kečovský ponor 2                                    3 570
Kederského priepasť                                 6 756
Keglevičova jaskyňa I                               3 114
Keglevičova jaskyňa II                              3 115
Kerekešova priepasť                                 2 927
Kešelova diera                                      4 637
Kira                                                4 638
Kivek                                               1 004
Klamná jaskyňa                                      3 286
Klamná jaskyňa                                      2 928
Klamná jaskyňa                                      3 571
Klamná priepasť                                     3 572
Kláštorná jaskyňa                                   4 639
Kláštorná roklina                                   4 640
Klemova jaskyňa                                     3 116
Klenbová jaskyňa                                    5 444
Klenbová jaskyňa                                      219
Klenová                                             1 157
Klenova priepasť                                    2 740
Klen-Szalayova jaskyňa                              3 573
Klenutá jaskyňa                                     3 574
Klenutá jaskyňa pod Ostricou                        5 240
Klepáčova jaskyňa v Malom Sokole                    1 745
Klepec                                              6 387
Klesajúca diera                                     5 846
Klesajúca diera                                     1 746
Klesajúca jaskyňa                                   1 747
Klesajúca plazivka                                  3 287
Klesajúci kanál                                     1 748
Kliešťová jaskyňa                                   6 757
Klin                                                2 929
Klin                                                2 741
Klinová jaskyňa                                     2 930
Klubová priepasť                                    2 742
Kľúč                                                1 749
Kľúč k Slatinskému krasu                            5 241
Kľučková dierka                                       332
Kľúčová dierka                                      5 293
Kľukatá jaskyňa                                     4 117
Kľukatá jaskyňa                                     4 641
Kľukatý kanál                                       1 750
Kňahyňa                                               131
Knapovka                                            2 617
Kňazovka                                            6 940
Kocka                                               3 288
Kocúria diera                                       3 289
Kochy 1                                             4 118
Kochy 2                                             4 119
Kochy 3                                             4 120
Kochy 4                                             4 121
Kochy 5                                             4 122
Kochy 6                                             4 123
Kokón                                               2 743
Koleno                                              4 642
Koliba                                              1 751



                                   Page 61 of 131
Koliba                                                6 388
Kolíňanská čertova diera                              6 260
Kolková 1                                             1 752
Kolková 2                                             1 753
Kolónia I                                             7 046
Kolónia II                                            7 047
Kolová diera                                          2 931
Kolová diera                                          5 938
Kolová puklina                                        5 939
Kolová puklina                                        2 932
Kolový bivak                                          2 933
Kolumbova brána                                       4 643
Komária jaskyňa                                       4 124
Komária jaskyňa                                       2 744
Komaškova priepasť                                    2 934
Kombinovaná jaskyňa                                   1 754
Komín                                                 2 745
Komín                                                 6 389
Komín                                                   100
Komín                                                 5 445
Komín CAC                                             4 644
Komín na Ragáči                                         174
Komín na Tlstej hore                                  5 313
Komín nad Dievčenskou vyvieračkou                       636
Komín nad Previsovou jaskyňou                           267
Komín pod pilierom                                    3 824
Komín pod terasou                                     5 446
Komín pri Čiernej hore                                5 294
Komín pri Helene                                        637
Komín Skalného mesta                                  6 166
Komín v Čremošnianskom tuneli I                       6 390
Komín v Čremošnianskom tuneli II                      6 391
Komín v Dedošovej                                     6 392
Komín v Marvane                                       2 618
Komín v Starom lome nad vápenkou                      1 201
Komínová jaskyňa                                      3 575
Komínová jaskyňa                                      4 125
Komínová jaskyňa                                      1 202
Komínová jaskyňa                                        940
Komínová jaskyňa                                      4 965
Komínová jaskyňa nad Dupnou dierou                    5 242
Komíny                                                4 645
Komíny                                                6 801
Komora                                                  204
Komora                                                5 612
Komora                                                4 646
Komora v Špatnej                                      1 755
Komora zbojníkov                                      1 756
Komorice 1                                            5 447
Komorice 2                                            5 448
Komorice 3                                            5 449
Komorice 4                                            5 450
Komorice 5                                            5 451
Komorice 6                                            5 452
Komorice 7                                            5 453
Komôrka                                               4 126



                                     Page 62 of 131
Komôrka pod Magurou                                   4 127
Koncová diera                                         4 647
Koniar 8                                              3 193
Koniar 9                                              3 194
Koniar 10                                             3 195
Koniarova jaskyňa                                     4 648
Konská diera                                            748
Konská hlava                                          1 434
Konská jaskyňa                                          333
Konvalinková jaskyňa                                  4 649
Kopa 1                                                4 650
Kopa 2                                                4 651
Kopaná jaskyňa pod Volovou                            1 757
Kopská jaskyňa                                        4 652
Kopýtková jaskyňa                                     4 128
Kopýtková jaskyňa                                     1 758
Kordove lúčky I                                       4 129
Kordove lúčky II                                      4 130
Koreň                                                 5 613
Korenárka                                             1 364
Koreňová jaskyňa                                      6 832
Koreňová jaskyňa                                      5 243
Koreňová jaskyňa                                      1 760
Koreňová jaskyňa                                      7 154
Koreňová jaskyňa                                        877
Koreňová jaskyňa                                        205
Koreňová jaskyňa                                      1 759
Koreňová priepasť                                       486
Koreňová priepasť                                     3 290
Koreňovica                                            4 131
Korienková jaskyňa                                    5 454
Korozívne abri                                        4 653
Korytnačia nôžka                                      2 746
Kosá jaskyňa                                          2 935
Kosienky                                              1 761
Kosovková jaskyňa                                     5 847
Kostkova priepasť                                     2 747
Kostnica                                              4 966
Kostnica                                              1 762
Kostnica                                              3 576
Kostnica                                                334
Kostnica                                              2 748
Kostolík                                              4 132
Kostolík                                              5 940
Kostolná lúka                                         4 133
Kosťová jaskyňa                                       2 619
Kosťová jaskyňa pod Adamovou horou                        8
Kosťová pri Zvonici                                   3 291
Kostrmanka                                              487
Kostrová jaskyňa                                      3 825
Košiarec                                              6 167
Košiarka                                              1 005
Košútova jaskyňa 1                                    5 067
Košútova jaskyňa 2                                    5 068
Kotol                                                 4 654
Kováčova diera                                          749



                                     Page 63 of 131
Kováčova diera                                         5 244
Kozia jaskyňa                                          2 620
Kozia jaskyňa                                          3 826
Kozia jaskyňa                                          2 138
Kozia priepasť                                         3 577
Kozolská jaskyňa I                                     1 089
Kozolská jaskyňa II                                    1 090
Kozolská južná 1                                       1 091
Kozolská južná 2                                       1 092
Kozolská južná 3                                       1 093
Kozolská južná 4                                       1 094
Kozolská južná 5                                       1 095
Kozolská južná 6                                       1 096
Kožuchova jaskyňa                                      1 289
Krahulčia horná jaskyňa                                5 455
Krahulčia jaskyňa 2                                    5 456
Krahulčia 3                                            5 457
Krahulčia 4                                            5 458
Krahulčia 5                                            5 459
Kraľovianska dolná jaskyňa v Sokole                    6 758
Kraľovianska horná jaskyňa v Sokole                    6 759
Kraľovianska jaskyňa v Sokole                          6 760
Kráľovská jaskyňa                                      3 827
Kraslica                                                 794
Krásna Dita                                            1 763
Krásna sieň                                            2 936
Krásnohorská jaskyňa                                   3 578
Krasová dutina pod Červenou                              992
Krasová dutina pod Suchou jaskyňou                     5 848
Krasová dutina 1                                         750
Krasová dutina 1                                       2 557
Krasová dutina 2                                         751
Krasová dutina 2                                       2 558
Krasová dutina 3                                       2 559
Krasová dutina 3                                         752
Krasová dutina 4                                         753
Krasová jama D46                                       1 158
Krasová jama 3                                         5 178
Krasová jaskyňa druhá                                  5 748
Krasová jaskyňa prvá                                   5 749
Krasová puklina pod Bobotami                             993
Krasový komín pod Medveďou                             1 097
Krasový komín pri Vencovej                               994
Kráter                                                 4 655
Krátka jaskyňa                                         2 377
Krátka diera                                           6 393
Krátka diera pri Stanišovskej                          1 764
Krátka jaskyňa                                         2 937
Krátka jaskyňa                                         3 292
Krátka jaskyňa                                           689
Krátka jaskyňa                                         4 656
Krátka jaskyňa                                         7 080
Krátka korózna diera                                   1 765
Kravská priepasť                                       3 293
Krčmárova jaskyňa                                      4 657
Krebdešinova jaskyňa                                   4 134



                                      Page 64 of 131
Kremencová jaskyňa                                   6 028
Kremencová jaskyňa 1                                 6 029
Kremencová jaskyňa 1                                 1 226
Kremencová jaskyňa 2                                 6 030
Kremencová jaskyňa 2                                 1 227
Kremencová jaskyňa 3                                 1 228
Kremencová jaskyňa 3                                 6 031
Kremencová jaskyňa 4                                 1 229
Kremencová jaskyňa 5                                 1 230
Kremenná diera                                       3 117
Kremenná jaskyňa                                       809
Kremenná priepasť                                    6 088
Kremienková jaskyňa                                  4 135
Kremnická suchá diera                                  795
Kresanica                                            6 032
Kresanica 1                                          6 033
Kresanica 2                                          6 034
Kresanica 4                                          6 035
Kresanica 5                                          6 036
Kresanica 7                                          6 037
Kresanica 8                                          6 038
Kresanica 11                                         6 039
Kresanica 15                                         6 040
Kresanica 17                                         6 041
Krieslo                                                754
Krivá diera                                          3 294
Krivian                                              4 658
Krivoštianska Artajama                               6 854
Krivoštianska jaskyňa                                6 855
Krivuľka                                             2 938
Krízový bivak                                        5 460
Krížiková priepasť                                   3 579
Krížová jaskyňa                                        268
Krížová priepasť                                     2 749
Krkahájska jaskyňa 1                                 3 828
Krkahájska jaskyňa 2                                 3 829
Krkavčia diera                                       4 659
Krkavčia jaskyňa                                     6 394
Krkavčia jaskyňa I                                   3 830
Krkavčia jaskyňa II                                  3 831
Krkavčia priepasť                                    3 295
Krkavčia puklina                                     2 939
Krkavčie okno pri Ľadovej jaskyni                    3 047
Krompľa                                              4 660
Krpcovo                                              6 395
Krpelianska jaskyňa                                  6 761
Kršlenica                                            1 290
Kršteňanská jaskyňa 1                                5 026
Kršteňanská jaskyňa 2                                5 027
Kršteňanská jaskyňa 3                                5 028
Kršteňanská jaskyňa 4                                5 029
Kršteňanská jaskyňa 5                                5 030
Kršteňanská jaskyňa 6                                5 031
Kršteňanská jaskyňa 7                                5 032
Kruhová priepasť                                     1 766
Kruhy I                                              5 461



                                    Page 65 of 131
Kruhy II                                             5 462
Krulova baňa                                         7 081
Krumpliš                                             3 580
Krútňava                                             3 581
Krysty                                               2 750
Kryštálová diera                                     1 767
Kryštálová jaskyňa                                   3 296
Kryštálová jaskyňa                                   2 560
Kryštálová jaskyňa                                     995
Kryštálová jaskyňa                                   2 561
Kryštálová puklina                                   2 562
Kryštálový komín                                     4 136
Kržla                                                1 291
Kšeftárska puklina                                   4 661
Kucharova jaskyňa                                    4 137
Kuchyňa                                              6 089
Kukliška                                                62
Kukošova priepasť                                    3 582
Kukova jaskyňa                                       2 751
Kukurišova jaskyňa                                     941
Kuneradská jaskyňa I                                 1 098
Kuneradská jaskyňa II                                1 099
Kuneradská jaskyňa III                               1 100
Kuneradská jaskyňa nad zastávkou                     1 101
Kunia jaskyňa                                          175
Kunia jaskyňa                                        5 245
Kunia priepasť                                       3 118
Kupčovie izbička                                     6 812
Kupónová                                             5 295
Kurtova diera                                        5 296
Kút                                                  1 768
Kutačka                                              4 138
Kutica                                               3 583
Kutica II                                            3 584
Kuvičkova priepasť                                   3 585
Kvaplíková diera                                     3 297
Kvapľová jaskynka                                    5 246
Kysacká jaskyňa                                        269
Kyslá diera                                          3 586
Kýšky 1                                              6 569
Kýšky 2                                              6 570
Kýšky 3                                              6 571
Kýšky 4                                              6 572
Kýšky 5                                              6 573
Labyrint                                             4 139
Labyrintová jaskyňa                                    176
Labyrintová jaskyňa                                  2 563
Laciho jaskyňa                                         270
Laciho jaskyňa II                                      271
Lacova jaskyňa                                       4 662
Lácova priepasť                                      2 752
Lačniakove škáry                                     1 292
Lačniakove škáry - spodný meander                    1 293
Laďka                                                3 587
Ľadnica                                                 63
Ľadová diera                                         2 278



                                    Page 66 of 131
Ľadová diera                                          1 769
Ľadová diera                                          3 298
Ľadová diera v Kujavách 1                             2 687
Ľadová diera v Kujavách 2                             2 688
Ľadová diera 1                                        1 770
Ľadová diera 2                                        1 771
Ľadová diera 3                                        1 772
Ľadová diera 4                                        1 773
Ľadová jama v Nárožnej                                5 247
